Date,Price,Open,High,Low,Vol.,Change %
2006-08-23,366.00,359.50,369.50,359.50,7.37K,1.74%
2006-08-24,375.50,365.50,376.00,365.50,11.96K,2.60%
2006-08-25,378.50,374.75,387.75,373.50,13.75K,0.80%
2006-08-28,384.75,379.00,388.50,379.00,12.99K,1.65%
2006-08-29,380.50,384.75,387.00,380.00,12.63K,-1.10%
2006-08-30,397.50,381.25,398.00,380.50,15.34K,4.47%
2006-08-31,404.00,398.25,405.00,395.50,9.09K,1.64%
2006-09-01,401.25,401.50,403.25,397.50,6.61K,-0.68%
2006-09-05,404.00,406.00,410.00,403.50,4.41K,0.69%
2006-09-06,399.00,399.25,404.00,398.00,2.19K,-1.24%
2006-09-07,403.50,399.50,404.00,395.00,1.93K,1.13%
2006-09-08,400.00,401.00,406.00,400.00,0.91K,-0.87%
2006-09-11,398.00,399.00,399.50,394.00,0.21K,-0.50%
2006-09-12,388.75,395.00,400.00,388.00,0.09K,-2.32%
2006-09-13,381.50,389.00,394.00,381.50,0.39K,-1.86%
2006-09-14,377.00,383.50,384.00,376.00,0.05K,-1.18%
2006-09-15,392.50,391.25,398.00,387.50,31.24K,4.11%
2006-09-18,395.50,395.25,398.50,392.25,25.11K,0.76%
2006-09-19,409.00,395.75,411.50,395.75,39.48K,3.41%
2006-09-20,407.75,410.00,413.50,406.25,40.96K,-0.31%
2006-09-21,421.50,408.50,423.00,407.50,49.01K,3.37%
2006-09-22,419.00,420.75,422.00,417.50,27.89K,-0.59%
2006-09-25,413.75,418.00,419.00,411.25,36.26K,-1.25%
2006-09-26,423.00,414.00,426.50,414.00,35.76K,2.24%
2006-09-27,424.25,423.75,430.75,419.00,38.78K,0.30%
2006-09-28,445.50,424.75,448.00,424.50,99.37K,5.01%
2006-09-29,443.00,445.50,453.00,441.00,94.19K,-0.56%
2006-10-01,483.00,445.00,557.00,435.25,974.76K,9.03%
2006-10-02,446.00,445.00,458.50,443.50,53.74K,-7.66%
2006-10-03,439.50,446.25,447.50,435.25,49.17K,-1.46%
2006-10-04,465.00,441.50,471.00,440.25,64.53K,5.80%
2006-10-05,464.00,464.00,487.00,460.00,89.48K,-0.22%
2006-10-06,464.00,465.50,477.00,458.50,55.48K,0.00%
2006-10-09,494.00,467.25,497.25,466.25,44.66K,6.47%
2006-10-10,501.00,524.00,524.00,493.00,85.16K,1.42%
2006-10-11,531.00,501.00,531.00,500.50,36.57K,5.99%
2006-10-12,515.50,543.50,551.00,511.00,58.65K,-2.92%
2006-10-13,525.50,516.50,539.00,516.50,38.69K,1.94%
2006-10-16,542.50,525.00,550.00,520.00,29.99K,3.24%
2006-10-17,531.00,541.00,557.00,528.75,40.38K,-2.12%
2006-10-18,512.50,531.25,531.25,512.00,29.55K,-3.48%
2006-10-19,513.00,512.50,529.00,505.50,27.30K,0.10%
2006-10-20,505.00,513.50,523.00,502.50,25.78K,-1.56%
2006-10-23,517.00,506.50,521.50,499.00,29.68K,2.38%
2006-10-24,522.50,517.25,527.50,511.25,23.33K,1.06%
2006-10-25,516.75,526.00,541.00,515.50,32.96K,-1.10%
2006-10-26,507.50,516.25,517.25,505.00,26.42K,-1.79%
2006-10-27,508.50,509.25,523.00,500.00,32.44K,0.20%
2006-10-30,501.00,507.00,513.50,497.25,33.79K,-1.47%
2006-10-31,483.00,502.25,503.75,482.00,67.01K,-3.59%
2006-11-01,487.50,485.75,494.00,476.50,38.75K,0.93%
2006-11-02,491.50,490.00,510.00,488.00,38.41K,0.82%
2006-11-03,492.50,491.00,494.00,484.75,28.36K,0.20%
2006-11-06,498.00,495.50,501.75,493.50,22.31K,1.12%
2006-11-07,497.00,498.75,501.00,493.25,49.69K,-0.20%
2006-11-08,504.00,497.50,519.00,497.50,64.36K,1.41%
2006-11-09,488.00,505.00,508.00,486.00,67.89K,-3.17%
2006-11-10,480.50,490.00,491.25,478.00,56.10K,-1.54%
2006-11-13,477.00,479.00,487.25,475.00,50.60K,-0.73%
2006-11-14,486.50,477.25,492.75,470.00,48.28K,1.99%
2006-11-15,481.50,490.00,497.00,480.00,33.46K,-1.03%
2006-11-16,468.75,480.25,485.50,466.25,24.52K,-2.65%
2006-11-17,474.00,471.00,475.00,465.00,13.23K,1.12%
2006-11-20,475.00,477.00,486.25,471.75,11.14K,0.21%
2006-11-21,479.75,476.00,480.75,472.00,18.70K,1.00%
2006-11-22,486.25,482.00,498.00,478.00,14.04K,1.35%
2006-11-24,500.00,487.25,501.00,483.00,4.16K,2.83%
2006-11-27,490.25,501.25,508.00,485.75,12.41K,-1.95%
2006-11-28,487.25,493.75,493.75,480.50,8.37K,-0.61%
2006-11-29,490.50,487.00,492.25,479.00,14.76K,0.67%
2006-11-30,502.00,491.50,505.25,491.00,7.73K,2.34%
2006-12-01,500.00,507.00,507.00,496.00,6.63K,-0.40%
2006-12-04,499.50,498.25,500.25,491.00,2.46K,-0.10%
2006-12-05,498.00,498.00,498.50,493.00,1.79K,-0.30%
2006-12-06,475.00,495.00,495.00,475.00,1.11K,-4.62%
2006-12-07,477.50,472.00,478.00,469.50,1.24K,0.53%
2006-12-08,469.00,476.00,476.00,468.00,0.19K,-1.78%
2006-12-11,475.00,470.25,475.00,463.50,0.17K,1.28%
2006-12-12,465.00,474.50,477.25,465.00,0.49K,-2.11%
2006-12-13,472.50,465.00,473.00,464.00,0.07K,1.61%
2006-12-14,477.00,472.50,479.50,472.00,0.05K,0.95%
2006-12-15,494.25,491.75,495.00,486.00,18.95K,3.62%
2006-12-18,487.50,494.50,494.75,481.50,23.73K,-1.37%
2006-12-19,492.00,487.50,494.50,482.25,22.46K,0.92%
2006-12-20,493.75,492.75,495.00,486.00,19.05K,0.36%
2006-12-21,503.25,494.00,504.50,493.00,32.29K,1.92%
2006-12-22,514.00,504.25,515.00,502.25,27.48K,2.14%
2006-12-26,516.75,516.00,521.50,513.00,19.57K,0.54%
2006-12-27,507.00,515.75,518.00,506.00,18.02K,-1.89%
2006-12-28,504.25,507.50,512.00,502.50,18.16K,-0.54%
2006-12-29,501.00,504.00,506.75,494.50,23.92K,-0.64%
2007-01-01,467.50,498.00,499.25,447.50,792.20K,-6.69%
2007-01-02,501.00,498.00,499.25,490.25,1.86K,7.17%
2007-01-03,476.50,493.00,493.75,476.00,56.49K,-4.89%
2007-01-04,467.50,478.00,480.00,464.50,43.40K,-1.89%
2007-01-05,470.25,469.00,471.00,462.00,32.30K,0.59%
2007-01-08,464.00,470.00,471.25,455.50,36.27K,-1.33%
2007-01-09,453.00,461.00,464.00,452.00,40.68K,-2.37%
2007-01-10,449.50,453.00,457.50,447.50,51.17K,-0.77%
2007-01-11,456.50,450.50,464.50,450.50,43.31K,1.56%
2007-01-12,479.50,458.75,486.50,457.25,50.71K,5.04%
2007-01-16,464.00,480.00,484.50,463.00,56.83K,-3.23%
2007-01-17,477.00,463.75,480.00,462.50,39.39K,2.80%
2007-01-18,471.00,477.00,485.00,466.75,37.87K,-1.26%
2007-01-19,467.00,471.00,473.00,464.50,27.00K,-0.85%
2007-01-22,465.00,466.00,470.50,463.50,28.89K,-0.43%
2007-01-23,480.25,466.00,481.00,465.50,36.61K,3.28%
2007-01-24,466.00,481.50,482.50,463.50,45.55K,-2.97%
2007-01-25,468.75,468.25,472.50,461.00,31.86K,0.59%
2007-01-26,463.50,468.75,470.50,462.00,21.48K,-1.12%
2007-01-29,456.50,465.00,466.25,455.50,24.71K,-1.51%
2007-01-30,459.50,457.50,461.25,453.50,28.24K,0.66%
2007-01-31,467.50,460.50,470.00,459.50,57.57K,1.74%
2007-02-01,460.25,467.50,472.00,459.50,32.57K,-1.55%
2007-02-02,461.25,459.50,464.50,455.75,19.95K,0.22%
2007-02-05,458.50,462.75,466.00,458.00,19.79K,-0.60%
2007-02-06,451.00,458.50,460.50,450.00,35.61K,-1.64%
2007-02-07,452.00,452.50,455.50,449.00,62.11K,0.22%
2007-02-08,457.00,452.75,460.00,451.50,47.62K,1.11%
2007-02-09,460.25,459.00,470.50,457.00,54.19K,0.71%
2007-02-12,455.75,462.50,464.00,454.00,43.11K,-0.98%
2007-02-13,459.00,456.00,461.25,455.00,43.13K,0.71%
2007-02-14,451.00,461.00,461.25,448.00,33.67K,-1.74%
2007-02-15,453.25,452.00,456.00,447.75,22.01K,0.50%
2007-02-16,468.00,453.50,470.50,451.50,31.94K,3.25%
2007-02-20,464.50,468.25,469.50,462.75,14.67K,-0.75%
2007-02-21,476.00,465.50,479.25,462.75,25.39K,2.48%
2007-02-22,489.50,477.00,490.50,476.00,19.47K,2.84%
2007-02-23,484.25,490.00,490.00,483.75,13.15K,-1.07%
2007-02-26,483.00,484.75,494.00,482.00,18.18K,-0.26%
2007-02-27,470.25,482.00,482.75,454.75,19.65K,-2.64%
2007-02-28,474.50,469.75,475.00,465.00,11.61K,0.90%
2007-03-01,468.00,474.25,474.25,455.50,9.85K,-1.37%
2007-03-02,459.50,462.00,469.00,459.00,5.18K,-1.82%
2007-03-05,468.00,460.75,468.00,453.50,3.19K,1.85%
2007-03-06,459.50,468.50,468.50,459.50,2.18K,-1.82%
2007-03-07,466.50,461.75,466.50,461.75,1.41K,1.52%
2007-03-08,464.00,465.50,470.00,463.00,0.29K,-0.54%
2007-03-09,465.50,463.75,470.50,463.75,0.06K,0.32%
2007-03-12,460.00,465.50,465.75,459.50,0.14K,-1.18%
2007-03-13,456.00,461.50,462.50,455.75,0.20K,-0.87%
2007-03-14,446.00,455.00,455.25,446.00,0.06K,-2.19%
2007-03-15,455.50,463.75,468.00,455.00,36.28K,2.13%
2007-03-16,460.75,455.00,466.50,452.00,32.81K,1.15%
2007-03-19,455.00,462.50,465.00,452.00,35.54K,-1.25%
2007-03-20,462.75,456.00,464.00,453.50,27.51K,1.70%
2007-03-21,465.50,465.00,469.75,460.00,25.28K,0.59%
2007-03-22,467.00,466.00,469.50,460.50,19.09K,0.32%
2007-03-23,461.50,468.00,468.75,460.75,18.37K,-1.18%
2007-03-26,458.00,462.00,466.00,451.25,21.82K,-0.76%
2007-03-27,454.00,458.00,459.75,451.25,26.12K,-0.87%
2007-03-28,456.50,455.50,459.00,452.00,21.03K,0.55%
2007-03-29,461.00,457.50,469.00,455.00,27.55K,0.99%
2007-03-30,438.00,461.25,466.00,431.00,64.97K,-4.99%
2007-04-01,485.50,433.75,519.75,412.00,671.76K,10.84%
2007-04-02,428.00,433.75,438.00,412.00,75.07K,-11.84%
2007-04-03,419.00,428.00,431.75,418.00,41.43K,-2.10%
2007-04-04,431.25,420.50,437.25,420.50,39.16K,2.92%
2007-04-05,445.00,433.50,450.00,432.00,24.73K,3.19%
2007-04-09,447.50,455.00,475.00,441.75,69.70K,0.56%
2007-04-10,457.75,448.25,464.00,448.00,54.03K,2.29%
2007-04-11,456.25,459.50,464.25,455.50,61.76K,-0.33%
2007-04-12,458.00,455.50,463.00,448.75,55.16K,0.38%
2007-04-13,478.50,461.75,485.50,459.75,73.27K,4.48%
2007-04-16,475.25,475.75,480.00,471.50,23.84K,-0.68%
2007-04-17,477.50,482.25,489.75,474.50,28.57K,0.47%
2007-04-18,474.50,475.00,485.00,474.00,15.37K,-0.63%
2007-04-19,496.00,476.00,497.00,474.75,21.34K,4.53%
2007-04-20,502.00,496.00,514.00,490.25,19.68K,1.21%
2007-04-23,494.00,503.00,504.00,490.25,16.49K,-1.59%
2007-04-24,483.50,492.25,492.25,479.50,9.64K,-2.13%
2007-04-25,506.25,485.50,513.50,485.50,8.46K,4.71%
2007-04-26,507.00,509.00,519.75,503.50,10.41K,0.15%
2007-04-27,500.50,504.75,506.25,492.50,16.39K,-1.28%
2007-04-30,485.50,486.00,498.50,482.00,7.27K,-3.00%
2007-05-01,488.50,480.50,489.00,468.50,4.49K,0.62%
2007-05-02,479.50,483.00,484.50,477.25,2.86K,-1.84%
2007-05-03,481.00,479.00,485.00,477.25,2.40K,0.31%
2007-05-04,482.00,476.00,482.00,476.00,0.72K,0.21%
2007-05-07,482.00,482.25,484.50,474.00,0.36K,0.00%
2007-05-08,469.00,478.00,478.00,468.00,0.32K,-2.70%
2007-05-09,471.00,473.25,473.25,471.00,0.16K,0.43%
2007-05-10,473.00,470.25,474.00,469.75,0.09K,0.42%
2007-05-11,483.00,469.75,486.00,469.75,0.07K,2.11%
2007-05-14,489.00,493.00,493.00,484.50,0.07K,1.24%
2007-05-15,502.00,494.25,507.50,488.25,34.08K,2.66%
2007-05-16,496.75,502.75,504.25,495.00,24.06K,-1.05%
2007-05-17,485.50,496.75,498.75,483.25,30.86K,-2.26%
2007-05-18,471.25,489.00,490.25,470.50,37.75K,-2.94%
2007-05-21,479.50,471.25,481.00,468.50,30.02K,1.75%
2007-05-22,471.00,478.00,478.25,468.00,28.97K,-1.77%
2007-05-23,476.50,471.25,479.00,471.00,19.30K,1.17%
2007-05-24,491.00,476.75,493.50,475.75,37.62K,3.04%
2007-05-25,501.00,492.00,502.50,489.25,29.88K,2.04%
2007-05-29,491.00,499.25,502.50,488.50,35.32K,-2.00%
2007-05-30,510.75,492.25,512.75,490.50,46.72K,4.02%
2007-05-31,517.00,511.00,524.00,507.75,61.34K,1.22%
2007-06-01,520.75,517.50,530.50,515.25,61.65K,0.73%
2007-06-04,520.25,520.00,531.00,518.50,43.91K,-0.10%
2007-06-05,527.25,521.50,536.00,520.25,62.32K,1.35%
2007-06-06,519.75,527.75,531.50,515.50,40.89K,-1.42%
2007-06-07,524.50,519.00,528.75,514.50,59.70K,0.91%
2007-06-08,527.50,524.25,530.75,516.00,59.89K,0.57%
2007-06-11,556.00,535.25,557.50,533.50,69.61K,5.40%
2007-06-12,565.00,554.75,576.00,552.75,86.36K,1.62%
2007-06-13,589.50,565.50,595.00,560.50,79.00K,4.34%
2007-06-14,606.50,590.75,619.25,589.25,89.35K,2.88%
2007-06-15,606.50,605.25,612.75,603.00,44.63K,0.00%
2007-06-18,601.00,608.00,611.50,595.75,35.16K,-0.91%
2007-06-19,581.00,605.00,605.00,578.25,43.90K,-3.33%
2007-06-20,605.00,582.00,611.00,582.00,37.13K,4.13%
2007-06-21,606.00,606.25,618.00,592.25,23.48K,0.17%
2007-06-22,592.25,603.75,607.75,586.00,19.37K,-2.27%
2007-06-25,589.50,592.75,596.00,584.50,24.60K,-0.46%
2007-06-26,608.50,589.25,618.50,585.00,21.23K,3.22%
2007-06-27,606.00,609.25,625.00,597.00,20.36K,-0.41%
2007-06-28,609.00,607.50,616.00,602.75,20.27K,0.50%
2007-06-29,582.00,609.00,633.75,580.50,9.52K,-4.43%
2007-07-01,630.00,583.25,664.00,562.50,563.75K,8.25%
2007-07-02,569.50,583.25,594.25,564.00,3.94K,-9.60%
2007-07-03,571.50,570.00,575.00,562.50,2.04K,0.35%
2007-07-05,591.00,580.00,594.00,579.50,2.40K,3.41%
2007-07-06,600.50,592.00,601.00,589.00,0.70K,1.61%
2007-07-09,588.50,601.75,601.75,588.00,1.05K,-2.00%
2007-07-10,592.00,591.25,601.00,591.00,0.58K,0.59%
2007-07-11,611.00,595.25,614.00,595.25,0.73K,3.21%
2007-07-12,611.50,617.50,617.50,602.75,0.58K,0.08%
2007-07-13,614.00,611.50,616.00,608.00,0.11K,0.41%
2007-07-16,601.75,611.75,614.50,599.50,37.49K,-2.00%
2007-07-17,601.25,602.25,619.00,600.50,56.11K,-0.08%
2007-07-18,623.50,603.00,627.50,599.25,43.10K,3.70%
2007-07-19,620.00,624.25,638.50,616.00,58.03K,-0.56%
2007-07-20,616.25,619.75,630.25,613.25,32.31K,-0.60%
2007-07-23,620.25,616.25,622.50,611.00,38.70K,0.65%
2007-07-24,642.00,622.75,648.00,622.00,44.74K,3.51%
2007-07-25,634.00,640.50,643.25,630.25,33.35K,-1.25%
2007-07-26,651.00,635.00,664.00,634.00,83.37K,2.68%
2007-07-27,653.25,651.00,656.50,643.50,40.14K,0.35%
2007-07-30,637.50,654.50,655.25,632.00,37.81K,-2.41%
2007-07-31,630.00,639.00,640.50,626.00,46.46K,-1.18%
2007-08-01,636.00,630.25,637.25,620.00,50.50K,0.95%
2007-08-02,641.75,638.00,651.75,638.00,41.87K,0.90%
2007-08-03,650.00,643.50,652.00,643.50,24.72K,1.29%
2007-08-06,664.00,647.00,665.75,641.25,56.11K,2.15%
2007-08-07,662.50,664.50,670.75,658.00,60.60K,-0.23%
2007-08-08,679.00,661.50,682.00,661.00,52.94K,2.49%
2007-08-09,673.50,678.50,696.50,670.00,69.66K,-0.81%
2007-08-10,667.00,672.00,680.50,661.50,60.20K,-0.97%
2007-08-13,666.50,673.00,677.00,660.00,52.48K,-0.07%
2007-08-14,692.50,669.25,693.50,667.25,41.57K,3.90%
2007-08-15,678.50,692.00,702.75,677.00,35.69K,-2.02%
2007-08-16,673.00,678.50,682.75,654.75,29.61K,-0.81%
2007-08-17,672.00,674.25,678.00,660.50,16.43K,-0.15%
2007-08-20,675.00,670.00,676.50,663.50,11.26K,0.45%
